Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Antigua and Barbuda,ATG,Forest area (% of land area),AG.LND.FRST.ZS,23.4090909091,23.3409090909,23.2727272727,23.2045454545,23.1363636364,23.0681818182,23,22.9318181818,22.8636363636,22.7954545455,22.7272727273,22.6363636364,22.5454545455,22.4545454545,22.3636363636,22.2727272727,22.2727272727,22.2727272727,22.2727272727,22.2727272727,22.2727272727,22.2727272727,22.2727272727,22.2727272727,22.2727272727,22.2727272727
Australia,AUS,Forest area (% of land area),AG.LND.FRST.ZS,16.7320984601,16.7360035406,16.7399086211,16.7438137016,16.7477187821,16.7516238626,16.7555289432,16.7594340237,16.7633391042,16.7672441847,16.7711492652,16.7399086211,16.708667977,16.677427333,16.6461866889,16.6149460448,16.4996160004,16.384285956,16.2689559116,16.1536258673,16.0382958229,16.0783879828,16.1184801427,16.1585723026,16.1986644625,16.2387566224
Austria,AUT,Forest area (% of land area),AG.LND.FRST.ZS,45.7253572294,45.8004359409,45.8755146525,45.950593364,46.0256720756,46.1007507871,46.1758294987,46.2509082102,46.3259869218,46.4010656333,46.4761443449,46.5076289659,46.5391135868,46.5705982078,46.6020828288,46.6335674497,46.655364495,46.678292039,46.7000896122,46.7218871854,46.7476474791,46.7751117356,46.800881847,46.8357344513,46.8620869333,46.8838990342
Azerbaijan,AZE,Forest area (% of land area),AG.LND.FRST.ZS,10.2382926565,10.2839564031,10.2839564031,10.307989954,10.3320235048,10.3560570556,10.3800906065,10.4041241573,10.4438453762,10.5168974064,10.5538405666,10.5670427582,10.5783243361,10.5870396361,10.5975420941,10.6121461408,10.9323910597,11.2507715209,11.5683735341,11.8864225025,12.1987514518,12.5156669651,12.8328776404,13.1499292273,13.4664844005,13.7836758888
Burundi,BDI,Forest area (% of land area),AG.LND.FRST.ZS,11.253894081,10.8995327103,10.5451713396,10.1908099688,9.8364485981,9.4820872274,9.1277258567,8.773364486,8.4190031153,8.0646417445,7.7102803738,7.5778816199,7.445482866,7.3130841121,7.1806853583,7.0482866044,7.6090342679,8.1697819315,8.730529595,9.2912772586,9.8520249221,10.031152648,10.2102803738,10.3894080997,10.5685358255,10.7476635514
Belgium,BEL,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,22.0376486129,22.0832232497,22.1287978864,22.1743725231,22.2199471598,22.2655217966,22.3117569353,22.357992074,22.4042272127,22.4504623514,22.4966974901,22.5112285337,22.5257595773,22.5402906209,22.5548216645,22.5693527081
Benin,BEN,Forest area (% of land area),AG.LND.FRST.ZS,51.0908123448,50.4700248315,49.8492373182,49.2284498049,48.6076622916,47.9868747783,47.366087265,46.7452997517,46.1245122384,45.5037247251,44.8829372118,44.4395175594,43.9960979071,43.5526782547,43.1092586023,42.66583895,42.2224192976,41.7789996453,41.3355799929,40.8921603405,40.4487406882,40.0053210358,39.5619013835,39.1184817311,38.6750620788,38.2316424264
Burkina Faso,BFA,Forest area (% of land area),AG.LND.FRST.ZS,25.0255847953,24.8066520468,24.5877192982,24.3687865497,24.1498538012,23.9309210526,23.7119883041,23.4930555556,23.274122807,23.0551900585,22.8362573099,22.6176900585,22.399122807,22.1805555556,21.9619883041,21.7434210526,21.524122807,21.3048245614,21.0855263158,20.8662280702,20.6469298246,20.4283625731,20.2097953216,19.9912280702,19.7726608187,19.5540935673
Bangladesh,BGD,Forest area (% of land area),AG.LND.FRST.ZS,11.4772989168,11.4573250365,11.4373511562,11.4173772759,11.3974033956,11.3774295152,11.3574556349,11.3374817546,11.3175078743,11.297533994,11.2775601137,11.2575862334,11.2376123531,11.2176384728,11.1976645925,11.1776907121,11.1577168318,11.1377429515,11.1177690712,11.0977951909,11.0778213106,11.0578474303,11.03787355,11.0178996697,10.9979257894,10.977951909
Bulgaria,BGR,Forest area (% of land area),AG.LND.FRST.ZS,30.0732170297,30.1166048992,30.1599927687,30.2033806382,30.2467685076,30.2901563771,30.3335442466,30.3769321161,30.4203199855,30.463707855,30.5070957245,31.0060562234,32.0349264706,32.5512549416,33.0617874218,33.6064064801,33.7678357728,33.932418746,34.0907835374,34.2649226234,34.4233603537,34.581798084,34.7402358143,34.8986735446,35.0571112749,35.2155490052
Bahrain,BHR,Forest area (% of land area),AG.LND.FRST.ZS,0.3188405797,0.3333333333,0.3521126761,0.3661971831,0.3943661972,0.4084507042,0.4366197183,0.4507042254,0.4788732394,0.5070422535,0.5211267606,0.5492957746,0.5633802817,0.5833333333,0.5890410959,0.6081081081,0.6216216216,0.64,0.6447368421,0.6710526316,0.6955380577,0.704041721,0.7272727273,0.7402597403,0.7652399481,0.7782101167
"Bahamas, The",BHS,Forest area (% of land area),AG.LND.FRST.ZS,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486,51.4485514486
Bosnia and Herzegovina,BIH,Forest area (% of land area),AG.LND.FRST.ZS,43.3333333333,43.2352941176,43.06640625,43.017578125,42.96875,42.919921875,42.87109375,42.822265625,42.7734375,42.724609375,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125,42.67578125
Belarus,BLR,Forest area (% of land area),AG.LND.FRST.ZS,38.3553539736,38.8414513903,38.8414513903,39.0845000986,39.3275488069,39.5705975153,39.8136462236,40.056694932,40.2997436403,40.5427923486,40.785841057,40.9465588641,41.1093033575,41.2700290884,41.4348404911,41.5914805502,41.6737309019,41.7703302119,41.8669295219,41.9800808599,42.0601281419,42.1561283328,42.2542013701,42.3522744074,42.4503474447,42.548420482
Belize,BLZ,Forest area (% of land area),AG.LND.FRST.ZS,70.8474353354,70.1600175362,69.4730381412,68.7860587462,68.0990793512,67.411661552,66.7246821569,66.0377027619,65.3507233669,64.6633055677,63.9763261727,63.6014905743,63.2262165717,62.8513809733,62.4761069706,62.1012713722,61.8807540552,61.6602367383,61.4401578255,61.2196405085,60.9991231916,60.7790442788,60.5589653661,60.3393248575,60.1192459448,59.899167032
Bermuda,BMU,Forest area (% of land area),AG.LND.FRST.ZS,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Bolivia,BOL,Forest area (% of land area),AG.LND.FRST.ZS,57.9663989661,57.7167912859,57.4671836056,57.2175759254,56.9679682452,56.7183605649,56.4687528847,56.2191452045,55.9695375242,55.719929844,55.4703221638,55.2197913782,54.9692605926,54.7187298071,54.4681990215,54.2176682359,53.7515000462,53.2853318564,52.8191636666,52.3529954768,51.886827287,51.6200498477,51.3532724084,51.0864949691,50.8197175298,50.5529400905
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,65.4098878459,65.1056215857,64.8013553255,64.4970890653,64.1928228051,63.8885565449,63.5842902847,63.2800240245,62.9757577643,62.6714915041,62.3672252439,62.0193009449,61.671376646,61.3234523471,60.9755280481,60.6276037492,60.4295692582,60.2315347673,60.0335002764,59.8354657854,59.6374312945,59.5197017518,59.4019722091,59.2842426664,59.1665131237,59.048783581
Barbados,BRB,Forest area (% of land area),AG.LND.FRST.ZS,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907,14.6511627907
Brunei Darussalam,BRN,Forest area (% of land area),AG.LND.FRST.ZS,78.3681214421,78.064516129,77.7609108159,77.4573055028,77.1537001898,76.8500948767,76.5464895636,76.2428842505,75.9392789374,75.6356736243,75.3320683112,75.0284629981,74.724857685,74.4212523719,74.1176470588,73.8140417457,73.4724857685,73.1309297913,72.789373814,72.4478178368,72.1062618596,72.1062618596,72.1062618596,72.1062618596,72.1062618596,72.1062618596
Bhutan,BTN,Forest area (% of land area),AG.LND.FRST.ZS,53.6504505276,53.8629796888,54.07550885,54.2880380113,63.9806532663,64.2301507538,64.4796482412,64.7291457286,64.9783919598,65.2278894472,65.4773869347,65.7268844221,65.9763819095,66.225879397,69.4104992523,69.6710129339,69.9315266154,70.1917779468,70.4522916284,70.71280531,70.9733189915,71.2338326731,71.4943463546,71.7548600362,72.0153737178,72.2756250492
Botswana,BWA,Forest area (% of land area),AG.LND.FRST.ZS,24.2055299702,23.9967885942,23.7880472183,23.5793058423,23.3705644663,23.1618230904,22.9530817144,22.7443403384,22.5355989625,22.3268575865,22.1181162105,21.9091983837,21.7002805569,21.49136273,21.2824449032,21.0735270764,20.8646092496,20.6556914227,20.4467735959,20.2378557691,20.0289379422,19.8486051559,19.6682723696,19.4879395832,19.3076067969,19.1272740106
Central African Republic,CAF,Forest area (% of land area),AG.LND.FRST.ZS,36.213040547,36.1879996148,36.1629586825,36.1379177502,36.1128768179,36.0878358856,36.0627949533,36.037754021,36.0127130887,35.9876721564,35.9626312241,35.9375902918,35.9125493595,35.8875084272,35.8624674949,35.8374265627,35.8123856304,35.7873446981,35.7623037658,35.7372628335,35.7122219012,35.6871809689,35.6621400366,35.6370991043,35.612058172,35.5870172397
Canada,CAN,Forest area (% of land area),AG.LND.FRST.ZS,38.2990726353,38.2938931172,38.288713599,38.2835340809,38.2783545628,38.2731750446,38.2679955265,38.2628160083,38.2576364902,38.2524569721,38.2472774539,38.242306876,38.2373362981,38.2323657202,38.2273951422,38.2224245643,38.2163982884,38.2103720126,38.2043457367,38.1983194608,38.1922931849,38.187168651,38.1820441172,38.1769195833,38.1717950494,38.1666705156
Central Europe and the Baltics,CEB,Forest area (% of land area),AG.LND.FRST.ZS,31.9443966742,31.9717160089,32.0492770622,32.1054984678,32.1587075194,32.2139524108,32.2656951322,32.3218154472,32.3767687847,32.4311361205,32.4878545002,32.6187218083,32.7991617615,32.9299286851,33.0561990002,33.1917562627,33.2883754994,33.3874210667,33.4836025821,33.5494038212,33.6437967099,33.7489652974,33.8607526141,33.9663932073,34.07320449,34.1791231347
Switzerland,CHE,Forest area (% of land area),AG.LND.FRST.ZS,29.1178628349,29.2266437299,29.335424625,29.44420552,29.552986415,29.6617673101,29.771301356,29.8808409442,29.990386075,30.0999367489,30.2094929663,30.3266452445,30.4438034512,30.5609675869,30.6781376518,30.7960929197,30.8879722651,30.9798562608,31.070958599,31.1620609373,31.2531632756,31.3493268549,31.4454904343,31.5416540136,31.6378175929,31.7339811722
Channel Islands,CHI,Forest area (% of land area),AG.LND.FRST.ZS,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158,4.2105263158
Chile,CHL,Forest area (% of land area),AG.LND.FRST.ZS,20.5276975302,20.6044931489,20.6812887677,20.7580843864,20.8348800052,20.9116756239,20.9884712427,21.0652668614,21.1420624802,21.2188580989,21.2956537177,21.35160289,21.4075520623,21.4635012346,21.519450407,21.5753995793,21.6262380099,21.6770764406,21.7279148712,21.7787533018,21.8295917324,22.2341472862,22.63870284,23.0432583937,23.4478139475,23.8523695012
China,CHN,Forest area (% of land area),AG.LND.FRST.ZS,16.7380076159,16.9495475728,17.1610875296,17.3726274865,17.5841674433,17.7957263555,18.0072857184,18.2188261259,18.4303665334,18.6419069409,18.8534674305,19.1952565377,19.5370360784,19.8788146332,20.2205925782,20.5623716329,20.7235618917,20.8847526091,21.0459420021,21.2071309433,21.3683203328,21.5325901815,21.6968600301,21.8611298787,22.0253997274,22.189669576
Cote d'Ivoire,CIV,Forest area (% of land area),AG.LND.FRST.ZS,32.1446540881,32.1779874214,32.2113207547,32.2446540881,32.2779874214,32.3113207547,32.3446540881,32.3779874214,32.4113207547,32.4446540881,32.4779874214,32.5264150943,32.5748427673,32.6232704403,32.6716981132,32.7201257862,32.7188679245,32.7176100629,32.7163522013,32.7150943396,32.713836478,32.7125786164,32.7113207547,32.7100628931,32.7088050314,32.7075471698
Cameroon,CMR,Forest area (% of land area),AG.LND.FRST.ZS,51.4395718305,50.9741702101,50.5087685896,50.0433669692,49.5779653487,49.1125637283,48.6471621078,48.1817604874,47.716358867,47.2509572465,46.7855556261,46.3201540056,45.8547523852,45.3893507647,44.9239491443,44.4585475239,43.9931459034,43.527744283,43.0623426625,42.5969410421,42.1315394216,41.6661378012,41.2007361807,40.7353345603,40.2699329399,39.8045313194
"Congo, Dem. Rep.",COD,Forest area (% of land area),AG.LND.FRST.ZS,70.7364195761,70.599060453,70.4617013299,70.3243422068,70.1869830837,70.0496239607,69.9122648376,69.7749057145,69.6375465914,69.5001874683,69.3628283452,69.2254692221,69.088110099,68.9507509759,68.8133918528,68.6760327298,68.5386736067,68.4013144836,68.2639553605,68.1265962374,67.9892371143,67.8518779912,67.7145188681,67.577159745,67.439800622,67.3024414989
"Congo, Rep.",COG,Forest area (% of land area),AG.LND.FRST.ZS,66.5475841874,66.4978038067,66.4480234261,66.3982430454,66.3484626647,66.298682284,66.2489019034,66.1991215227,66.149341142,66.0995607613,66.0497803807,66,65.9502196193,65.9004392387,65.850658858,65.8008784773,65.7657393851,65.7306002928,65.6954612006,65.6603221083,65.6251830161,65.5800878477,65.5349926794,65.489897511,65.4448023426,65.3997071742
Colombia,COL,Forest area (% of land area),AG.LND.FRST.ZS,58.0594862551,57.8234700315,57.5874628211,57.3514465976,57.1154393871,56.8794231636,56.6434069401,56.4073997296,56.1713835061,55.9353762956,55.6993600721,55.4114646237,55.1235781884,54.83568274,54.5477963046,54.2599008562,53.9776025237,53.6953041911,53.4130148716,53.130716539,52.8484182064,52.8243352862,52.800261379,52.7761784588,52.7521045516,52.7280216314
Comoros,COM,Forest area (% of land area),AG.LND.FRST.ZS,26.3299301451,26.1149919398,25.9000537346,25.6851155293,25.470177324,25.2552391188,25.0403009135,24.8253627082,24.610424503,24.3954862977,24.1805480924,23.8581407845,23.5357334766,23.2133261687,22.8909188608,22.5685115529,22.246104245,21.9236969371,21.6012896292,21.2788823213,20.9564750134,20.7415368082,20.5265986029,20.3116603976,20.0967221924,19.8817839871
Cabo Verde,CPV,Forest area (% of land area),AG.LND.FRST.ZS,14.3300248139,14.9330024814,15.5384615385,16.141439206,16.746898263,17.3498759305,17.952853598,18.5583126551,19.1612903226,19.7667493797,20.3697270471,20.4441687345,20.5186104218,20.5930521092,20.6674937965,20.7419354839,20.8163771712,20.8908188586,20.9652605459,21.0397022333,21.1141439206,21.3523573201,21.5930521092,21.8312655087,22.0694789082,22.3076923077
Costa Rica,CRI,Forest area (% of land area),AG.LND.FRST.ZS,50.2154328241,49.8472385429,49.4790442617,49.1108499804,48.7426556992,48.3744614179,48.0062671367,47.6380728555,47.2698785742,46.901684293,46.5334900118,46.9839404622,47.4343909127,47.8848413631,48.3352918136,48.785742264,49.232275754,49.678809244,50.125342734,50.5718762241,51.0184097141,51.6098707403,52.2013317665,52.7927927928,53.384253819,53.9757148453
Caribbean small states,CSS,Forest area (% of land area),AG.LND.FRST.ZS,86.3226380141,86.2615783624,86.2005681116,86.1395331604,86.0784982092,86.0174385575,85.9564283068,85.8953933556,85.8343584043,85.7733234531,85.7122885019,85.6678769915,85.6234407805,85.5790539706,85.5346177597,85.4902062492,85.4519204644,85.41365938,85.3753982957,85.3371372113,85.2988514265,85.2546128196,85.2103742127,85.1661603063,85.1219216994,85.0776830925
Cuba,CUB,Forest area (% of land area),AG.LND.FRST.ZS,19.1620111732,19.5130353818,19.8640595903,20.2150837989,20.5661080074,20.917132216,21.2681564246,21.6191806331,21.9702048417,22.3212290503,22.6722532588,23.1601489758,23.8725444121,24.3627819549,24.8529273565,25.3382187148,25.7822042657,26.2213453589,26.6629086809,27.104472003,27.5460353251,27.9385755594,28.5507613975,29.6756860487,30.2480292251,30.7633147472
Curacao,CUW,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Forest area (% of land area),AG.LND.FRST.ZS,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667,52.9166666667
Cyprus,CYP,Forest area (% of land area),AG.LND.FRST.ZS,17.4361471861,17.5497835498,17.6634199134,17.7770562771,17.8906926407,18.0043290043,18.117965368,18.2316017316,18.3452380952,18.4588744589,18.5725108225,18.5995670996,18.6266233766,18.6525974026,18.6796536797,18.7067099567,18.7067099567,18.7067099567,18.7067099567,18.7056277056,18.7056277056,18.7023809524,18.6991341991,18.696969697,18.6937229437,18.6904761905
Czech Republic,CZE,Forest area (% of land area),AG.LND.FRST.ZS,34.0235537725,34.0235537725,34.0235537725,34.0546136922,34.0649669988,34.0753203054,34.085673612,34.0960269186,34.1063802252,34.1167335318,34.1270868384,34.1529701048,34.1788533713,34.2047366378,34.2350504789,34.2609370955,34.2912621359,34.3171521036,34.3430420712,34.3689320388,34.3992749871,34.4251683066,34.4555224654,34.4814191376,34.5162543712,34.5376845377
Germany,DEU,Forest area (% of land area),AG.LND.FRST.ZS,32.3661673302,32.3816343482,32.3971013663,32.4134967919,32.4298931569,32.4462904612,32.4626887049,32.4818793869,32.5001432583,32.5193420826,32.5376128385,32.5594726283,32.5804047469,32.6022763109,32.6232187401,32.6413579539,32.6594402386,32.678463877,32.6965550871,32.7127735865,32.7308718478,32.7375487721,32.7451655477,32.718986471,32.7228432216,32.7324219814
Djibouti,DJI,Forest area (% of land area),AG.LND.FRST.ZS,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755,0.2415875755
Dominica,DMA,Forest area (% of land area),AG.LND.FRST.ZS,66.6666666667,66.3066666667,65.96,65.6,65.24,64.88,64.5333333333,64.1733333333,63.8133333333,63.4666666667,63.1066666667,62.7466666667,62.3866666667,62.04,61.68,61.32,60.96,60.6133333333,60.2533333333,59.9066666667,59.5466666667,59.1866666667,58.84,58.48,58.1333333333,57.7733333333
Denmark,DNK,Forest area (% of land area),AG.LND.FRST.ZS,12.8143430054,12.9141306912,13.0016497761,13.1013433891,13.2010370021,13.3007306151,13.4004242281,13.5001178412,13.5998114542,13.6995050672,13.7991986802,13.6681593212,13.5371199623,13.4060806033,13.2750412444,13.1440018855,13.282583078,13.4211642706,13.5597454631,13.6983266557,13.8369078482,13.955220363,14.2210050012,14.3405572755,14.4601095499,14.5796618242
Dominican Republic,DOM,Forest area (% of land area),AG.LND.FRST.ZS,22.8731111571,23.6617677499,24.4504243428,25.2390809356,26.0277375285,26.8163941213,27.6050507141,28.393707307,29.1823638998,29.9710204927,30.7596770855,31.4469054026,32.1341337197,32.8213620368,33.508590354,34.1958186711,34.8789070586,35.5619954461,36.2450838336,36.9281722211,37.6112606086,38.2984889257,38.9857172428,39.6729455599,40.360173877,41.0474021942
Algeria,DZA,Forest area (% of land area),AG.LND.FRST.ZS,0.6999084703,0.6962136925,0.6925189147,0.688824137,0.6851293592,0.6814345814,0.6777398037,0.6740450259,0.6703502481,0.6666554704,0.6629606926,0.6593498871,0.6557390815,0.652128276,0.6485174704,0.6449066649,0.6769840537,0.7090614425,0.7411388313,0.7732162201,0.8052936089,0.8084845533,0.8116754977,0.8148664422,0.8180573866,0.8212483311
East Asia & Pacific (excluding high income),EAP,Forest area (% of land area),AG.LND.FRST.ZS,28.6912008257,28.6736868009,28.6529741824,28.6322609361,28.611547062,28.5908517641,28.5701558125,28.5494419124,28.5287286401,28.5080153678,28.5131492633,28.6530350435,28.793944233,28.9347523731,29.0749113547,29.2149619646,29.2914120301,29.36797088,29.4450098402,29.5216800646,29.5984059251,29.6327449958,29.667399605,29.701925428,29.7363207505,29.7707154447
Early-demographic dividend,EAR,Forest area (% of land area),AG.LND.FRST.ZS,24.466130318,24.3209890283,24.1754537971,24.0541476459,23.9128034857,23.7664338775,23.620064571,23.4736952645,23.3473908215,23.2008959165,23.0541570096,22.9863176664,22.9184786253,22.8507638084,22.7841719733,22.7163631543,22.632436839,22.54857949,22.464905997,22.3807380247,22.2969622906,22.2224522362,22.1480576993,22.0736181799,21.9999109573,21.9254213686
East Asia & Pacific,EAS,Forest area (% of land area),AG.LND.FRST.ZS,25.771048485,25.764379697,25.7535422112,25.7427043151,25.7318660085,25.7210386687,25.710316019,25.6994780694,25.6886397095,25.67780176,25.6821842505,25.7641736225,25.8470004967,25.9298009825,26.0122200983,26.0945663108,26.1079660413,26.1214225226,26.1350787135,26.1485683483,26.1619700307,26.1966803118,26.231443939,26.2661437044,26.300876408,26.3356263704
Europe & Central Asia (excluding high income),ECA,Forest area (% of land area),AG.LND.FRST.ZS,38.3798227692,38.3865061695,38.3953861378,38.4096855425,38.4258921992,38.4389951838,38.4476980153,38.4545647446,38.4582257985,38.4546648071,38.4749106656,38.4824642779,38.4904865002,38.4963136994,38.5018242021,38.5077125307,38.5809891871,38.6486740943,38.7172582704,38.7843263024,38.851310056,38.8600261237,38.8692096357,38.8780992537,38.889037144,38.897987389
Europe & Central Asia,ECS,Forest area (% of land area),AG.LND.FRST.ZS,37.2714958199,37.3009437608,37.3340587408,37.3707185145,37.4088551445,37.4444989819,37.4765039702,37.4131513197,37.4412428966,37.4634418082,37.488165154,37.5075581825,37.5259475427,37.542668388,37.5600378413,37.5775756943,37.6556668265,37.7282894711,37.8024940021,37.8735901801,37.9438535854,37.9619767857,37.9845106334,38.0019976138,38.0216732413,38.0396138627
Ecuador,ECU,Forest area (% of land area),AG.LND.FRST.ZS,52.849479844,52.5236598757,52.1978760295,51.8720921832,51.546272215,51.2204883687,50.8947045225,50.5689206762,56.0045901111,55.6414478982,55.2783056853,54.9612659043,54.6442261234,54.3272266065,54.0101868256,53.6931873087,53.3761475278,53.0591077468,52.74210823,52.425068449,52.1080689322,51.7910291512,51.4739893703,51.1569898534,50.8399500725,50.5229505556
"Egypt, Arab Rep.",EGY,Forest area (% of land area),AG.LND.FRST.ZS,0.0442011151,0.0457079713,0.0472148275,0.0487216837,0.0502285399,0.0517353961,0.0532422522,0.0547491084,0.0562559646,0.0577628208,0.059269677,0.0608769903,0.0624843036,0.0640916169,0.0656989301,0.0673062434,0.0679089859,0.0685117284,0.0691144708,0.0697172133,0.0703199558,0.0709226983,0.0715254408,0.0721281832,0.0727309257,0.0733336682
